company_id,company_name,ticker,sector
1,Company_1,CMP1,Auto
10,Company_10,CMP10,IT
11,Company_11,CMP11,Telecom
12,Company_12,CMP12,Healthcare
13,Company_13,CMP13,IT
14,Company_14,CMP14,Banking
15,Company_15,CMP15,Pharma
16,Company_16,CMP16,Pharma
17,Company_17,CMP17,Banking
18,Company_18,CMP18,Healthcare
19,Company_19,CMP19,Banking
2,Company_2,CMP2,Energy
20,Company_20,CMP20,Telecom
21,Company_21,CMP21,Pharma
22,Company_22,CMP22,IT
23,Company_23,CMP23,Infrastructure
24,Company_24,CMP24,Banking
25,Company_25,CMP25,Healthcare
26,Company_26,CMP26,Infrastructure
27,Company_27,CMP27,IT
28,Company_28,CMP28,Infrastructure
29,Company_29,CMP29,Infrastructure
3,Company_3,CMP3,Pharma
30,Company_30,CMP30,Pharma
31,Company_31,CMP31,IT
32,Company_32,CMP32,Healthcare
33,Company_33,CMP33,IT
34,Company_34,CMP34,Telecom
35,Company_35,CMP35,Energy
36,Company_36,CMP36,FMCG
37,Company_37,CMP37,Pharma
38,Company_38,CMP38,Energy
39,Company_39,CMP39,Telecom
4,Company_4,CMP4,IT
40,Company_40,CMP40,Banking
41,Company_41,CMP41,Infrastructure
42,Company_42,CMP42,FMCG
43,Company_43,CMP43,Telecom
44,Company_44,CMP44,Energy
45,Company_45,CMP45,Banking
46,Company_46,CMP46,Infrastructure
47,Company_47,CMP47,Infrastructure
48,Company_48,CMP48,Healthcare
49,Company_49,CMP49,Auto
5,Company_5,CMP5,Banking
50,Company_50,CMP50,Banking
6,Company_6,CMP6,Telecom
7,Company_7,CMP7,Banking
8,Company_8,CMP8,Auto
9,Company_9,CMP9,Infrastructure
